Time,Location,Temperature (C),Weather,Humidity,Wind Speed (m/s)
2025-10-14 22:15:54,Lagos,24.5,overcast clouds,89,1.6
2025-10-14 22:19:10,Abuja,23.0,broken clouds,89,0.4
2025-10-14 22:25:39,Enugu,23.1,moderate rain,91,1.6
------------------------------------------------------------------------------
2025-10-14 22:26:40,Germany,9.7,overcast clouds,93,1.3
------------------------------------------------------------------------------
2025-10-14 22:28:06,Egypt,16.0,overcast clouds,79,4.1
------------------------------------------------------------------------------
2025-10-14 22:36:48,Awka,23.4,heavy intensity rain,92,1.4
------------------------------------------------------------------------------
